movie_title,year,episode,song_title,artists,song_id,track_id
the guiding light,"[1952, 1991]",hands on (#1.15108),now more than ever,john mellencamp,388697.0,247507.0
control,"[2007, 1969]",nan,what goes on,the velvet underground,46732.0,397997.0
the beatles: rock band,"[2009, 1969]",nan,what goes on,the velvet underground,46732.0,648230.0
chuck,2007,chuck versus the best friend (#2.14),momma's boy,chromeo,487253.0,45677.0
mr. wrong,"[1996, 1997]",nan,song for the dumped (live),ben folds+darren jessee+ben folds five,661432.0,547108.0
no 73,"[1982, 1986]",bend it (#6.9),anxious,the housemartins,234420.0,167393.0
better call saul,"[2015, 1999]",switch (#2.1),music & wine (th attaboy vocal),blue six,415204.0,29945.0
californication,"[2007, 2000]",la ronde (#2.9),metropol 47,mark kozelek,392078.0,40570.0
survivre avec les loups,2007,nan,malkaleh,chava alberstein,369105.0,635842.0
waterloo road,2006,(#1.4),dream song,scott matthews,426473.0,315458.0
festival internacional de la canciï¿½n de viï¿½a del mar,1963,viï¿½a 2003: noche 4,boca colorï¿½,joe vasconcellos,102596.0,88434.0
boston legal,2004,change of course (#1.4),since i fell for you (lp version),buddy johnson+dr. john,144670.0,34860.0
blind dating,2006,nan,without you,el presidente,447932.0,370325.0
miami vice,"[1984, 1985]",phil the shill (#2.11),knock on wood  (album version),steve cropper+eddie floyd+eric clapton,853605.0,153092.0
fire in the sky,1993,nan,black water (album version),patrick simmons+the doobie brothers+arrangement with sony music licensing,357868.0,439928.0
supernatural,2005,hello  cruel world (#7.2),black water (album version),patrick simmons+the doobie brothers,357868.0,229941.0
the sopranos,1999,employee of the month (#3.4),i don't make promises (i can't break),shannon curfman,250899.0,269788.0
things behind the sun,"[2001, 1979]",nan,here comes that rainy day feeling again,the fortunes+roger cook   / roger greenaway  / tony macaulay,192033.0,694029.0
wer hat angst vorm schwarzen mann?,"[2009, 2004]",nan,somebody told me,the killers,252130.0,719986.0
boomers,"[2014, 1967]",matt & seb (#2.2),the tears of a clown,smokey robinson & the miracles,251479.0,34533.0
csi: miami,"[2002, 2008]",wont get fueled again (#7.2),paris is burning (alex gopher remix),ladyhawke,150467.0,39676.0
ugly betty,"[2006, 2008]",crushd (#3.7),paris is burning,ladyhawke,150467.0,308394.0
green street hooligans 2,"[2009, 2008]",nan,riot! riot!,peter brynchmore+keith curtis+robert haynes+john murney+john robb+goldblade,504154.0,458958.0
dolly parton: platinum blonde,"[2003, 1959]",nan,puppy love,bill owens+dolly parton,338534.0,418291.0
the hooker with a heart of gold,2010,nan,boogie oogie oogie (re-recorded / remastered),janice marie johnson+perry kibble+a taste of honey,956745.0,665414.0
tv hits awards 2000,"[2000, 1999]",nan,better the devil you know,steps,123835.0,638222.0
last ounce of courage,2012,nan,angels we have heard on high (album version),joan osborne,466558.0,511998.0
incubus alive at red rocks,"[2004, 1999]",nan,drive,incubus,317417.0,484730.0
threat,"[2006, 2001]",nan,black light rituals,nic endo,904744.0,695639.0
history of the euros,"[2016, 1996]",nan,slight return,adam devlin+eds chesters+mark morriss+scott morriss+the bluetones,544787.0,470964.0
top of the pops,"[1964, 1995]",(1995-11-23),hobo humpin' slobo babe,whale,449659.0,302667.0
roy orbison: one of the lonely ones,"[2015, 1973]",nan,mean woman blues,claude demetri+roy orbison,750874.0,599617.0
roy sings orbison,"[1975, 1973]",nan,mean woman blues,claude demetri+roy orbison,750874.0,599641.0
miguel bosï¿½ - los vï¿½deos,"[2002, 1991]",nan,nena,miguel bosï¿½+e. aldrighetti+v. leoravante,279658.0,540754.0
papitour,"[2007, 1991]",nan,nena,miguel bosï¿½+e. aldrighetti+v. leoravante,279658.0,570977.0
grand theft auto: vice city,"[2002, 1984]",nan,hyperactive!,thomas dolby,283008.0,458029.0
cenerentola 80,"[1984, 1987]",nan,stay,bonnie bianco_ pierre cosso,838271.0,387565.0
waterloo road,2006,(#1.4),dream song,matthews southern comfort,840670.0,315458.0
les fleurs,"[2014, 1990]",nan,les fleurs,minnie riperton+charles stepney+dick rudolph,739022.0,515512.0
en kort en lang,2001,nan,fool's corner (live),saybia,931917.0,430373.0
tron: legacy,"[2010, 1983]",nan,sweet dreams (are made of this),annie lennox+david a. stewart+eurythmics+arrangement with sony music licensing,713108.0,703326.0
waterloo road,"[2006, 1983]",baby boom (#10.3),sweet dreams (are made of this),eurythmics,713108.0,315688.0
when snooker ruled the world,"[2002, 1983]",nan,sweet dreams (are made of this),annie lennox+david a. stewart+eurythmics,713108.0,721851.0
american wedding,"[2003, 1983]",nan,sweet dreams (are made of this),annie lennox+david a. stewart+the eurythmics,713108.0,347546.0
lucky break,"[1994, 1983]",nan,sweet dreams (are made of this),eurythmics+annie lennox+david a. stewart,713108.0,526543.0
mad money,"[2008, 1971]",nan,going down,don nix+little freddie king,921208.0,528542.0
angus,1995,nan,rubella,smoking popes,434523.0,350039.0
red hot and blue,1990,nan,after you  who?,jody watley+cole porter,704329.0,591025.0
six feet under,2001,the invisible woman (#2.5),my precious thing (rollercone edit remix),llorca+lady bird,593553.0,213605.0
forgetting sarah marshall,2008,nan,character,van hunt,247314.0,443245.0
shindig!,"[1964, 1991]",(#1.48),born to be together,phil spector+jeff barry+ellie greenwich+the ronettes,49205.0,210937.0
xiii ediciï¿½n de los premios de la mï¿½sica,2009,nan,ï¿½lamo blanco,carmen linares,68671.0,727910.0
boardwalk empire,2010,spaghetti and coffee (#3.2),original jelly roll blues  begun,jelly roll morton and his red hot peppers,510352.0,33516.0
project x,"[2012, 2008]",nan,cheap and cheerful (sebastian remix),the kills,503466.0,583917.0
top of the pops,"[1964, 1978]",(1978-10-12),talking in your sleep,roger cook+bobby wood+crystal gayle,274505.0,300004.0
qualquer gato vira-lata,"[2011, 2006]",nan,he can only hold her,charles harper+john harrison+robert pointdexter+richard poindexter+amy winehouse,509218.0,586324.0
date with an angel,1987,nan,understanding jane,the icicle works,439032.0,406238.0
shameless,"[2011, 2009]",three boys (#1.5),what's a fella gotta do,eels,173462.0,208784.0
the blues,"[2003, 1952]",godfathers and sons (#1.5),juke,little walter,51120.0,239514.0
the wonder years,"[1988, 1975]",little debbie (#4.6),tammy,jay livingston+debbie reynolds,845194.0,285450.0
stay tuned,1992,nan,bad_ bad_ bad,kool moe dee,960250.0,629419.0
when strangers appear,2001,nan,dont let me be misunderstood (granite & sugarman alternate extended instrumental),gloria caldwell+sol marcus+bennie benjamin+santa esmeralda,722654.0,721882.0
metal evolution,"[2011, 1984]",extreme metal (#1.12),into the crypts of rays,celtic frost,726389.0,152514.0
chicago,2002,nan,roxie's suite,danny elfman,909747.0,390092.0
fifty,"[1999, 1998]",nan,voyager,les nubians,318515.0,438862.0
la guerre oubliï¿½e,"[1987, 1994]",nan,la chanson de craonne,nana mouskouri,88945.0,507933.0
love actually,"[2003, 2002]",nan,puppy love,paul anka+s. club juniors,848207.0,524663.0
ray,"[2004, 1985]",nan,drinkin' wine spo-dee-o-dee,stick mcghee+j. mayo williams+arrangement with warner strategic marketing,296517.0,590121.0
the porter wagoner show,1961,freddie weller (#1.474),the promised land,freddie weller,141658.0,261363.0
1234,"[2008, 2009]",nan,great expectations,ed wallis+my sad captains,594553.0,327087.0
the last concert: dolly dots,"[1988, 1998]",nan,what a night,peter van asten+richard de bois+de dolly dots,287720.0,668902.0
penï¿½lope  camino a los oscar,"[2007, 1998]",nan,volver,carlos gardel+andrï¿½s calamaro,47280.0,574217.0
the porter wagoner show,"[1961, 2001]",don gibson (#1.504),one day at a time,don gibson,557997.0,261311.0
the o.c.,2003,the way we were (#2.2),trouble sleeping (live),the perishers,934540.0,258867.0
walk the line,"[2005, 1966]",nan,candy man blues,mississippi john hurt,441622.0,716830.0
the rhythm of my soul: kentucky roots music,2006,nan,soul of constant sorrow,patty loveless,480976.0,681422.0
youre dead...,"[1999, 1966]",nan,release me,robert yount+eddie miller+bob williams+engelbert humperdinck,574087.0,730263.0
buffy the vampire slayer,"[1997, 2002]",empty places (#7.19),rock city news,nerf herder,232930.0,37689.0
virtuosity,1995,nan,samurai,ben watkins+johann blay+juno reactor,329802.0,714354.0
24th annual country music association awards,1990,nan,put yourself in my shoes,mark irwin+alan jackson+clint black,649403.0,328922.0
sweet home alabama,2002,nan,to think i used to love you (album version),uncle kracker+michael bradford+arrangement with warner special products,779567.0,636559.0
grand theft auto iv: the ballad of gay tony,"[2009, 1972]",nan,007 (shanty town),desmond dekker & the aces,687934.0,457192.0
hinter gittern - der frauenknast,"[1997, 2001]",...und raus bist du (#9.26),blurry,puddle of mudd,526393.0,109871.0
psych,"[2006, 2002]",romeo and juliet and juliet (#5.1),dope nose,weezer,616521.0,188736.0
red betsy,"[2003, 1989]",nan,i yust go nuts at christmas,harry stewart+yogi yorgesson,225667.0,590849.0
mary and max,"[2009, 1993]",nan,russian rag,elena kats-chernin  is used by permission of hal leonard astralia pty. ltd. exclusive agents for boosey+hawkes music publishers lts. of london+lisa moore,442079.0,534632.0
la chanson de lannï¿½e,2004,(#1.3),ailleurs (live),jean-louis aubert,340532.0,132412.0
think like a man too,"[2014, 1981]",nan,give it to me baby,rick james,694560.0,694233.0
the full monty,"[1997, 2005]",nan,flashdance (what a feeling) 95,giorgio moroder & irene cara,188511.0,660977.0
top of the pops,"[1964, 2000]",(2000-11-03),let love lead the way (album version),victoria beckham+melanie brown+emma bunton+melanie c+rodney jerkins+lasean daniels+fred jerkins+harvey mason jr.+spice girls,228279.0,303463.0
jeff buckley: everybody here wants you,"[2002, 1993]",nan,eternal life,jeff buckley,760241.0,490961.0
angel,"[1999, 1998]",unaired pilot (#1.0),dirty hole ( lp version ),vast,340485.0,13635.0
lipstick jungle,2008,chapter seven: carpe threesome (#1.7),chains of love,kreesha turner,338465.0,139324.0
top of the pops,"[1964, 1979]",(1979-11-08),you're a better man than i,brian hugg+sham 69,778373.0,300734.0
roadracers,"[1994, 2003]",nan,one cup of coffee,glen troutman+glen glenn,691702.0,596146.0
alice in wonderland,2010,nan,alice,avril lavigne,233358.0,343134.0
call the midwife,"[2012, 1992]",(#2.6),walking along,sammy weiss+winston willis+the solitaires,329479.0,40841.0
the wonder years,"[1988, 1975]",little debbie (#4.6),tammy,jay livingston+debbie reynolds,372730.0,285450.0
luv ko si maam,"[1991, 1990]",nan,wiggle it (denis the menace dub mix),2 in a room,916871.0,527322.0
how to make a living  out of the dead,"[2010, 1998]",nan,that's where my heart used to be,judie tzuke,607889.0,476654.0
need for speed: underground 2,"[2004, 1997]",nan,back on a mission,cirrus,543697.0,554058.0
famine,"[2011, 2010]",nan,parasitic twins,the dillinger escape plan+ben weinman,21307.0,436365.0
the inevitable defeat of mister & pete,2013,nan,i've been loving you too long (remastered stereo album version),otis redding+jerry butler,558163.0,666589.0
gimme shelter,1970,nan,i've been loving you too long (remastered stereo album version),otis redding+jerry butler+ike+tina turner,558163.0,451853.0
lianna,1983,nan,i've been loving you too long (remastered stereo album version),otis redding,558163.0,517782.0
dave matthews band: listener supported,"[1999, 1998]",nan,pantala naga pampa,dave matthews band,141419.0,406343.0
dora the explorer,2000,roberto the robot (#3.4),do the robot walk,dora the explorer,395613.0,74568.0
qwerty,"[2007, 2005]",(#2.3),pour que l'amour me quitte,camille,250401.0,190373.0
sarah brightman: symphony in vienna,"[2008, 2009]",nan,fleurs du mal (live),martin himmelsbach+matthias meissner+frank peterson+thomas schwarz+sarah brightman+klaus hirschburger,729764.0,603945.0
the house of mirth,"[2000, 1991]",nan,rothko chapel: movement 4,morton feldman,642753.0,665769.0
magnavox presents frank sinatra,"[1973, 2002]",nan,take me out to the ball game,jack norworth+albert von tilzer+frank sinatra+gene kelly,702141.0,530358.0
kick-ass: the game,2010,nan,dirty candy,boris the sprinkler,570172.0,499936.0
stick it,"[2006, 2005]",nan,i slept with someone in fall out boy and all i got was this stupid song written about me,patrick stump+pete wentz+andrew hurley+fall out boy,936899.0,630352.0
sioux city sue,"[1946, 1945]",nan,oklahoma hills,jack guthrie,790027.0,616772.0
kiss the girls,"[1997, 1989]",nan,i want to hug you,john lee hooker,597873.0,502393.0
waterloo road,"[2006, 1960]",the final straw (#10.10),the twist,chubby checker,130355.0,316292.0
rock and roll hall of fame live: feelin alright,"[2009, 1960]",nan,the twist,hank ballard+chubby checker+the rock hall jam band,130355.0,597129.0
the real hustle,"[2006, 2003]",(#6.8),toxic,cathy dennis+henry jonback+pontus winnberg+christian karlsson+britney spears,488200.0,262780.0
the singles collection: bonus dvd,"[2009, 2003]",nan,toxic,britney spears,488200.0,684403.0
you again,"[2010, 2003]",nan,toxic,cathy dennis+henry jonback+christian karlsson+pontus winnberg+britney spears+arrangement with sony music licensing,488200.0,729657.0
the x factor,"[2004, 2009]",(#6.14),million dollar bill,whitney houston,632076.0,286241.0
sixteen stories,"[2000, 1977]",nan,nothing but time  (lp version),jackson browne,84964.0,617438.0
best of bandstand,"[1986, 1973]",nan,teen angel,red surrey+jean dinning+mark dinning,175968.0,365292.0
night of the creeps,"[1986, 1985]",nan,drive_ she said (live),stan ridgway,715908.0,556628.0
saturday night live,"[1975, 2002]",kirsten dunst/eminem (#27.19),without me,eminem,52348.0,202540.0
metal evolution,"[2011, 2000]",power metal (#1.10),the way of the warrior,hammerfall,216142.0,152623.0
stephen lynch: live at the el rey,"[2004, 2002]",nan,she gotta smile,stephen lynch+mark teich,686841.0,630146.0
when the partys over,"[1993, 1991]",nan,pay for it,lloyd cole,843700.0,722173.0
canada sings,"[2011, 2004]",the junk notes vs. the zooperstars (#1.1),wild horses,natasha bedingfield,254471.0,41297.0
so you think you can dance,"[2005, 2004]",top 20 results (#2.7),wild horses,andrew frampton+wayne wilkins+natasha bedingfield,254471.0,217485.0
married life,"[2007, 2004]",nan,got a right to cry,joe liggins+his honeydrippers+arrangement with ocean park music group,663310.0,534242.0
out cold,"[2001, 1975]",nan,cant give you anything (but my love),hugo peretti+luigi creatore+george david weiss+the stylistics,548746.0,568564.0
american horror story,2011,devils night (#5.4),your love (20th anniversary mix),frankie knuckles,427195.0,11000.0
the blues,2003,the road to memphis (#1.3),scootchin,bobby rush,194003.0,239671.0
harry brown,2009,nan,i love london (delta heavy remix),crystal fighters+gilbert vierich+sebastian pringle+graham dickson,58949.0,464793.0
gangs of new york,2002,nan,paddy's lamentation,linda thompson,663279.0,448745.0
pollock,"[2000, 1956]",nan,mahogany hall stomp,spencer williams+louis armstrong+arrangement with sony music licensing,387353.0,579519.0
vacanze in america,"[1984, 1978]",nan,take me home  country roads,john denver,633964.0,710934.0
prison break,"[2005, 1978]",first down (#2.4),take me home  country roads,bill danoff+taffy nivert+john denver,633964.0,187644.0
who are the debolts? [and where did they get 19 kids?],"[1977, 1978]",nan,take me home  country roads,bill danoff+taffy nivert+john denver,633964.0,723339.0
john denver: country boy,"[2013, 1978]",nan,take me home  country roads,bill danoff+taffy nivert+john denver,633964.0,493016.0
the crying game,"[1992, 1979]",nan,the crying game,geoff stephens+dave berry,612866.0,654781.0
the drifter,"[1965, 1991]",ghost town,man walks among us,marty robbins,389156.0,242884.0
step brothers,"[2008, 1999]",nan,breathe and stop,robert kool bell+ronald bell+george funky brown+q-tip+arrangement with sony bmg music entertainment+kool+the gang,209152.0,629844.0
queens logic,"[1991, 1972]",nan,stir it up,johnny nash+bob marley+arrangement with sony music licensing,305180.0,586874.0
page one: inside the new york times,"[2011, 2007]",nan,make the road by walking,gabriel roth+leon michels+michael deller+david guy+thomas brenneck+homer steinweiss+menahan street band,66127.0,569860.0
tuno negro,"[2001, 2000]",nan,child is my name,kemopetrol,134840.0,704641.0
the anatomy of a frog,2007,nan,only 1,jen gloeckner,630420.0,646541.0
todds pop song reviews,"[2009, 2006]",blank space by taylor swift (#6.16),teardrops on my guitar,taylor swift+liz rose,140457.0,296325.0
todds pop song reviews,"[2009, 2006]",dear future husband by meghan trainor (#7.8),teardrops on my pillow,taylor swift,140457.0,296362.0
later... with jools holland,"[1992, 2000]",hip hop soul (#24.0),gettin in the way,jill scott,361361.0,136584.0
jimi plays berkeley,"[1971, 1989]",nan,hear my train a comin',jimi hendrix,386029.0,492118.0
godsmack: smack this!,"[2002, 1997]",nan,keep away,godsmack,706807.0,454188.0
banda sonora,"[2007, 1977]",(#2.8),sea como sea,emilio gonzï¿½lez+julio gonzï¿½lez+jeros+los chichos,183572.0,22004.0
ride,"[2000, 1996]",nan,chariots,transglobal underground,293639.0,594331.0
top of the pops,"[1964, 2001]",(2001-02-02),played a live (the bongo song),safri duo,405926.0,303546.0
step up,2006,nan,show me the money,ron neff-u feemster+moses barrett iii+petey pablo,372628.0,629897.0
one tree hill,"[2003, 2005]",everyday is a sunday evening (#3.20),look after you,the fray,474098.0,172845.0
water,"[1985, 1979]",nan,walking on sunshine,eddy grant,881642.0,718067.0
best of bandstand,"[1986, 1973]",nan,teen angel,red surrey+jean dinning+mark dinning,471469.0,365292.0
entourage,2004,motherfucker (#8.5),infinite desert,delorean,901594.0,83333.0
eastenders,"[1985, 1997]",(1997-06-09),do you know,michelle gayle,305099.0,78270.0
nowhere boy,"[2009, 1953]",nan,hound dog,jerry leiber+mike stoller+big mama thornton,223126.0,560803.0
cold case,"[2003, 1953]",devil music (#5.4),hound dog,big mama thornton,223126.0,47363.0
mï¿½lheim - texas: helge schneider hier und dort,2015,nan,es gibt reis  baby,helge schneider,233485.0,551631.0
the warriors,"[2005, 1978]",nan,when you're in love with a beautiful woman,dr. hook+even stevens,219395.0,690279.0
rocky balboa,2006,nan,it's a fight,paul beauregard+jordan houston+three 6 mafia,263005.0,597644.0
top of the pops,"[1964, 1981]",(1981-06-18),how 'bout us,champaign,173393.0,301662.0
from nashville with music,"[1969, 2005]",nan,kaw-liga,charley pride,350105.0,446505.0
the garry moore show,1958,(#5.5),the second time around,jimmy van heusen+steve lawrence,892622.0,245753.0
million dollar baby,"[2004, 2005]",nan,blue morgan (opening title),clint eastwood,614961.0,541167.0
a midsummer nights rave,2002,nan,punk,ferry corsten,497781.0,334531.0
the duke of burgundy,2014,nan,soliloquy for lilith 2,nurse with wound,490267.0,657397.0
lï¿½cume des jours,"[2013, 1999]",nan,spring,mia doi todd,334941.0,506104.0
time out of mind,"[2014, 2003]",nan,far from any road,the handsome family+brett sparks+rennie sparks,854714.0,697338.0
true detective,"[2014, 2003]",who goes there (#1.4),far from any road,the handsome family,854714.0,305968.0
the switch,"[2010, 2003]",nan,bluebird of happiness (ulrich schnauss short version),neil halstead+ian mccutcheon+mojave 3,90141.0,686865.0
without a trace,"[2002, 2003]",a tree falls (#2.7),bluebird of happiness,mojave 3,90141.0,320223.0
raquel: body & mind,1989,nan,courage of the wind (2003 digital remaster),david lanz,361192.0,589768.0
duck dynasty,2012,o little town of west monroe (#4.11),joy to the world,the mormon tabernacle choir,629862.0,77123.0
the loved ones,"[2009, 2007]",nan,idols and anchors,parkway drive,522671.0,671820.0
marlene dietrich: her own song,"[2001, 1992]",nan,lili marleen.,norbert schultze+marlene dietrich,836838.0,534078.0
buddy,"[2003, 2002]",nan,from grace,thomas dybdahl,119161.0,379216.0
the x factor,"[2004, 1993]",auditions 4 (#2.4),smokebelch ii (beatless mix),the sabres of paradise,196887.0,286768.0
20 to 1,"[2005, 1991]",sizzling superstars (#8.15),in the closet,michael jackson,480559.0,1765.0
country music,1972,nan,something to think about,bobby braddock+charlie louvin+diane mccall,803436.0,399071.0
mr. robot,"[2015, 1992]",eps1.9_zer0-day.avi (#1.10),world destruction (feat. john lydon),time zone featuring john lydon & afrika bambaataa,334627.0,159713.0
davy knowles & back door slam live at the gaiety theatre,2009,nan,hear me lord (2001 digital remaster),george harrison,9979.0,406609.0
the ren & stimpy show,1991,jiminy lummox/bass masters (#3.6),blues for chirstmas,john lee hooker,549973.0,264366.0
melrose place,2009,vine (#1.4),shame on me,amanda blank,415919.0,151199.0
freestyle,"[2010, 2009]",nan,next hype,tempa t,13899.0,445449.0
drei zimmer/kï¿½che/bad,"[2012, 2010]",nan,so brand new,fyfe dangerfield hutchins+fyfe dangerfield,276366.0,421753.0
theres only one jimmy grimble,"[2000, 1999]",nan,right here right now,fatboy slim+dale peters+joe walsh,470644.0,693427.0
the 90s: ten years that changed the world,"[2015, 1999]",nan,right here  right now,by fatboy slim+dale peters+joe walsh+fatboy slim,470644.0,645400.0
great performances,1971,cream reunion concert (#34.2),spoonful,willie dixon+cream,30239.0,101829.0
eastenders,"[1985, 1994]",(2003-02-27),midnight at the oasis,the brand new heavies,726420.0,78847.0
the butcher boy,"[1997, 2001]",nan,oh mein papa,paul burkhardt   / john turner   / geoffrey parsons+eddie calvert,33439.0,651819.0
the 30th annual academy awards,"[1958, 1992]",nan,an affair to remember,harry warren+harold adamson+leo mccarey+vic damone,778580.0,643824.0
the x factor,"[2004, 2005]",bootcamp 2 (#9.9),fix you,coldplay,953095.0,287426.0
the x factor,"[2004, 2005]",judges houses 2 (#2.10),fix you,guy berryman+jon buckland+will champion+chris martin+coldplay,953095.0,287561.0
you  me and dupree,"[2006, 2005]",nan,fix you,guy berryman+will champion+chris martin+jon buckland+coldplay,953095.0,730508.0
young @ heart,"[2007, 2005]",nan,fix you,guy berryman  / jon buckland   / will champion   / chris martin+coldplay,953095.0,730552.0
keen eddie,"[2003, 2001]",the amazing larry dunn (#1.6),hell above water,curve,127992.0,127890.0
that 70s show,"[1998, 1977]",punk chick (#1.22),i'm so bored with the u.s.a.,joe strummer+mick jones+the clash,689343.0,234702.0
hip hip hora!,2004,nan,mom in love & daddy in space,kashmir,815789.0,470650.0
sendung ohne namen,2002,es ist doch immer das gleiche... (#1.6),i was made for loving you,queen of japan,226833.0,206121.0
dance with me,1998,nan,esa triste guitarra,manuel alejandro+ana magdalena+emmanuel,514885.0,404472.0
haven,"[2004, 1993]",nan,feel like jumping,coxsone dodd+marcia griffiths,880710.0,465514.0
tempted,"[2001, 1998]",nan,if i had wings (part 2),james ford+t-model ford / schrive alive,503084.0,641351.0
reading and leeds festival,2009,kings of leon (#1.3),chaka demus (single version),jamie t.,94630.0,193179.0
eastenders: e20,"[2010, 2009]",(#1.2),chaka demus (single version),jamie t,94630.0,79398.0
class of 1984,1982,nan,aint got no sense,teenage head,225524.0,393239.0
vikings,"[2013, 2008]",a good treason (#4.1),if i had a heart,karin dreijer andersson+fever ray,945416.0,313394.0
vikings,"[2013, 2008]",the profit and the loss (#4.7),if i had a heart,karin dreijer andersson+fever ray,945416.0,313463.0
vikings,"[2013, 2008]",what might have been (#4.6),if i had a heart,karin dreijer andersson+fever ray,945416.0,313481.0
laurence anyways,"[2012, 2008]",nan,if i had a heart,fever ray,945416.0,512580.0
the morningside monster,2014,nan,me & joe drove out to california...,jon snodgrass+drag the river,482327.0,674285.0
jonas brothers: the 3d concert experience,2009,nan,should've said no,taylor swift+the jonas brothers,165274.0,493796.0
what to expect when youre expecting,"[2012, 1994]",nan,big poppa,ernie isley+marvin isley+okelly isley+ronald isley+rudolph isley+chris jasper+the notorious b.i.g.,885210.0,721049.0
the real cancun,2003,nan,happy endings,nick wheeler+tyson ritter+the all-american rejects,712335.0,680735.0
rï¿½zone,2006,nan,ride on me,rock hard power spray,856297.0,601188.0
prois tartan,"[2015, 1996]",nan,move any mountain (beatmasters 12' mix),the shamen,476258.0,583758.0
grand theft auto iv: the ballad of gay tony,"[2009, 2006]",nan,pjanoo (club mix),eric prydz,819301.0,457182.0
heavy metal 2000,2000,nan,the dog's a vapour,bauhaus,833615.0,467174.0
top of the pops,"[1964, 1981]",(1981-02-19),i surrender,rainbow,144259.0,301460.0
slipp jimmy fri,"[2006, 1982]",nan,nellie the elephant,butler+hart+toy dolls,134108.0,619005.0
motown: the early years,"[2005, 1964]",nan,needle in a haystack,william stevenson+norman whitfield+the velvelettes,37429.0,545947.0
20 to 1,2005,80s good  bad & ugly (#9.15),another brick in the wall (part 2),pink floyd+roger waters,391837.0,973.0
top ten,1998,prog rock,another brick in the wall (part 2),roger waters+pink floyd,391837.0,298354.0
top of the pops: the story of 1980,2015,nan,another brick in the wall (part 2),roger waters+pink floyd,391837.0,700159.0
pink floyd: the wall,1982,nan,another brick in the wall (part 3),roger waters+pink floyd,391837.0,577166.0
the wedding date,"[2005, 1963]",nan,one fine day,gerry goffin+carole king+the chiffons,66247.0,690643.0
the bachelor,"[2002, 2006]",(#20.2),sweet pea,amos lee,521803.0,236658.0
universal soldier: the return,"[1999, 1995]",nan,fueled,anthrax,509790.0,709423.0
the edsel show,1957,nan,im walking behind you (digitally remastered),billy reid+frank sinatra,100097.0,657687.0
gossip girl,"[2007, 2009]",remains of the j (#2.20),dance till dawn (80kidz remix),heartsrevolution,806148.0,100886.0
women in rock,"[1986, 1972]",nan,ball and chain,mick jagger+keith richards+janis joplin,467162.0,726586.0
woodstock diary,"[1994, 1972]",nan,ball and chain,willie mae thornton+janis joplin+maury baker+brad campbell+terry clements+cornelius snooky flowers,467162.0,726898.0
hollywood rocks the movies: the early years (1955-1970),"[2000, 1972]",nan,ball and chain,willie mae thornton+janis joplin  with big brother+the holding company,467162.0,472360.0
dealer,1999,nan,midnight radio track 3,bohren & der club of gore,825452.0,408596.0
jacks big music show,"[2005, 2001]",mels super swell dance party (#1.7),i really love to dance,laurie berkner,192745.0,123231.0
supernatural,"[2005, 1979]",the devil in the details (#11.10),heaven must be missing an angel,tavares,437449.0,230105.0
soda stereo: el ï¿½ltimo concierto,"[2005, 1988]",nan,en la ciudad de la furia,gustavo cerati+soda stereo,812003.0,620891.0
the johnny cash show,"[1969, 1985]",(#1.24),country girl,red lane+dottie west+jeannie c. riley,549885.0,249877.0
cast a dark shadow,1955,nan,leave me alone,jean wiener+lita roza,246606.0,386264.0
new best friend,"[2002, 1997]",nan,post modern sleaze,the sneaker pimps,231224.0,555107.0
the blues,"[2003, 1988]",godfathers and sons (#1.5),talk to me baby,elmore james+magic slim+the teardrops,823892.0,239524.0
unlimited 23,"[2010, 2006]",nan,forest floor 4,peter rehberg+stephen omalley+ktl,674009.0,709519.0
phil collins: seriously live,"[1990, 1985]",nan,sussudio,phil collins,803711.0,575927.0
war photographer,"[2001, 2009]",nan,the river,eleni karaindrou+string orchestra,683778.0,717459.0
ellis in glamourland,"[2004, 2001]",nan,dance valley theme 2001,f. corsten+system f,357554.0,428908.0
the nations favourite queen song,"[2014, 1975]",nan,you're my best friend,queen,883471.0,675201.0
the secret life of pets,"[2016, 1975]",nan,you're my best friend,john deacon+queen,883471.0,683445.0
the behaviour asylum,"[2014, 1975]",nan,you're my best friend,john deacon+queen+arrangement with bbc,883471.0,648418.0
fast times at ridgemont high,1982,nan,love is the reason [2008 stereo mix],graham nash,488214.0,437164.0
the newton boys,"[1998, 1995]",nan,wild man blues,ferdinand jelly roll morton+the jim cullum jazz band,638048.0,675624.0
wild man blues,"[1997, 1995]",nan,wild man blues,louis armstrong+ferdinand jelly roll morton,638048.0,724472.0
tut mir leid wegen gestern,"[1997, 1992]",nan,sunday mondays,vanessa paradis,560777.0,704976.0
premios ondas 05,2005,nan,nada fue un error,coti / paulina rubio / julieta venegas,743300.0,582113.0
wilde mossels,"[2000, 1969]",nan,south american getaway,burt bacharach,377678.0,724883.0
the graduates,2008,nan,just impolite (stems & parts),dan ingala+plushgun,50347.0,662823.0
opry video classics: songs that topped the charts,"[2007, 1989]",nan,waterloo,john d. loudermilk+marijohn wilkin+stonewall jackson,705599.0,567236.0
acï¿½stico mtv: capital inicial,"[2000, 1989]",nan,fogo,dinho ouro preto+bozo barretti+capital inicial,841527.0,339533.0
danville 2nd ward young men,"[2008, 2009]",emergency preparedness fair 2011 (#3.4),to kingdom come,michael angelakos+passion pit,888412.0,60542.0
live from studio five,2009,(#1.39),take you down,chris brown+harvey mason jr.+d. thomas+s. russell+j. fauntleroy ii+l. edwards,147877.0,140325.0
in the land of women,2007,nan,publish my love (album version),zach rogue+rogue wave,428036.0,484390.0
